't Hooft	エトホーフト
Dentener	デンテネル
Derks	デルクス
Derksen	デルクセン
Dijkstra	デイクストラ
Dommelen	ドンメレン
Donders	ドンデルス
Drees	ドレース
Driessen	ドリーセン
Droog	ドローフ
Dubbink	デュビンク
Duijf	ダウフ
Dulfer	デュルフェル
Dusseldorp	デュッセルドルプ
Duyn	ダュン
Eerdmans	エールトマンス
Eijken	エイケン
Eijkenaar	エイケナール
Eijkman	エイクマン
Eijsackers	エイサッケルス
Einthoven	エイントホーフェン
Engelen	エンゲレン
Eppink	エピンク
Ermerins	エルメリンス
Esselink	エッセリンク
Euwe	エーヴェ
Evers	エヴェルス
Fierens	フィーレンス
Figee	フィヘー、フィヘイ
Flikkema	フリッケマ
Flothuis	フロタウス、フロタユス
Fokker	フォッケル
Fraanje	フラーンゲ
Fransen	フランセン
Franssens	フランセンス
Gaalman	ハールマン
Geels	ヘールス
Geerts	ヘールツ
Geluk	ヘリュック
Gerbrandy	ヘルブランディ
Gerritsen	ヘリツェン
Geurds	ヘールツ
Gevers	ヘーフェルス
Goedgedrag	フドヘドラーフ
Goldschmeding	ホーチュメディング
Gorter	ホルテル
Goudsmit	ハウトスミット
Graat	フラート
Groen	フルン
Groenendijk	フルネンデイク
Groeneveld	フルーネフェルト
Groot	フロート
Grooten	フローテン
Groothof	フロートホフ
Gruppen	フルッペン
Haanstra	ハーンストラ
Haartsen	ハールトセン
Hage	ハーヘ
Hageman	ハーヘマン
Hakkert	ハッケルト
Halbertsma	ハルベルツマ
Halsema	ハルセマ
Hamers	ハーメルス
Hanegraaff	ハーネフラーフ
Hardeman	ハルデマン
Hartkamp	ハルトカンプ
Hartman	ハルトマン
Hartsuiker	ハルトサウケル、ハルトサユケル
Hautvast	ハウトヴァスト
Havelaar	ハーフェラール
Hazelzet	ハーゼルゼット
Heemskerk	ヘームスケルク
Heeren	ヘーレン
Heeringa	ヘーリンハ
Heij	ヘイ
Heijmans	ヘイマンス
Heinsius	ヘインシウス
Hendrickx	ヘンドリックス
Hendriks	ヘンドリクス
Henkemans	ヘンケマンス
Heppener	ヘッペネル
Herkemij	ヘルケメイ
Hermans	ヘルマンス
Hermsen	ヘルムセン
Hettinga	ヘッティンハ、ヘッティンガ
Heuts	ヘーツ
Hiddink	ヒディンク
Hijmans	ヘイマンス
Hobbema	ホッベマー
Hoefnagel	フフナーヘル
Hoekstra	フークストラ
Hoepelman	フーペルマン
Hofland	ホフラント
Hofman	ホフマン
Hofstede	ホフステーデ
Hol	ホル
Hollanders	ホーランデルス
Holten	ホルテン
Hoogenboom	ホーヘンボーム
Hoogendijk	ホーヘンデイク
Hoogervorst	ホーヘルフォルスト
Hoogeveen	ホーヘフェーン
Hooiveld	ホーイフェルト
Hordijk	ホルデイク
Houbrechts	ハウブレフツ
Houtkamp	ハウトカンプ
Houweling	ハウエリング
Hovenkamp	ホーフェンカンプ
Huijsmans	ハウスマンス
Huisman	ハウスマン、ハユスマン
Huizinga	ハウジンハ、ハウジンガ
Huntelaar	フンテラール
Hutten	フッテン
Huygens	ハウヘンス、ハユヘンス（ホイヘンス）
Huysmans	ハウスマンス
Ivens	イフェンス
Jacobs	ヤーコプス
Jan	ヤン
Jansen	ヤンセン
Janssen	ヤンセン
Janssens	ヤンセンス
Jansz	ヤンス
Jongkind	ヨンキント
Jonker	ヨンケル
Joosen	ヨーセン
Kalk	カルク
Kamer	カーメル
Kamps	カンプス
Keizer	カイゼル
Kemper	ケンペル
Keppel	ケッペル
Kes	ケース
Kessels	ケッセルス
Keuris	ケーリス
Keuter	ケーテル
Kieft	キーフト
Kielstra	キールストラ
Kiers	キールス
Kievit	キーヴィット
Kievits	キーヴィッツ
Kikkert	キッケルト
Kist	キスト
Klaasen	クラーセン
Klaasse	クラーセ
Klaassen	クラーセン
Klinkers	クリンケルス
Klok	クロック
Klop	クロップ
Kluivert	クラウフェルト
Klumpenhouwer	クルンペンハウエル
Knoflook	クノフローク
Kok	コーク
Kolff	コルフ
Koning	コニング
Konings	コーニングス
Kooij	コーイ
Kooijman	コーイマン
Kool	コール
Koolhaas	コールハース
Koolmees	コールメース
Koop	コープ
Koopman	コープマン
Koopmans	コープマンス
Kooreneef	コーレネーフ
Kooyman	コーイマン
Kooymans	コーイマンス
Koster	コステル
Krabbé	クラベ
Kramer	クラメル
Krayenhoff	クライエンホフ
Krijn	クライン
Kroes	クルース
Krol	クロル
Kromkamp	クロンカンプ
Kruijs	クラウス
Kruijswijk	クラウスヴェイク
Kruisinga	クラウシンハ
Kruithof	クレートフ
Kuijer	カウエル
Kuijper	カウペル
Kuijpers	カウペルス
Kuiper	カウペル
Kuipers	カウペルス
Kunst	クンスト
Kuyper	カウペル
Lambrechts	ランブレヘツ
Lammers	ランメルス
Leenders	レーンデルス
Leers	レールス
Lierop	リーロプ、リーロップ
Lievegoed	リーフェフット
Lodewijk	ローデヴェイク
Lubbers	ルッベルス
Lugt	リュフト
Luytjes	ラウチェス
Maas	マース
Maaskant	マースカント
Maessen	マーセン
Marijnen	マレイネン
Martens	マルテンス
Martinus	マルティヌス、マルティニュス
Masselink	マッセリンク
Mathijsen	マテイセン
Matthijs	マッテイス
Meder	メーデル
Meerdink	メールディンク
Meerloo	メールロー
Meeuwis	メーヴィス
Meijer	メイエル、メイイェル
Meijering	メイエリング
Meijers	メイエルス
Meijners	メイネルス
Meijns	メインス
Meima	メイマ
Meines	メイネス
Meinesz	メイネス
Meirmans	メイルマンス
Mellema	メレマ
Mengelberg	メンゲルベルフ
Merkies	メルキース
Mertens	メルテンス
Metselaar	メトセラール、メツセラール
Meulenberg	メーレンベルフ
Meyer	メイエル
Mijts	メイツ
Mik	ミック
Moerenhout	ムーレンハウト
Mol	モル
Molenaar	モレナール
Molenkamp	モーレンカンプ
Mondriaan	モンドリアーン
Mons	モンス
Moors	モールス
Moulijn	ムーレイン
Mouwen	マウエン
Mulder	ミュルデル
Mulders	ミュルデルス
Munneke	ミュンネケ
Nagtegaal	ナフテハール
Neeskens	ネースケンス
Nieland	ニーラント
Niemeijer	ニーメイエル
Nieuwenhuis	ニウウェンハウス
Nieuwenhuizen	ニウウェンハウゼン
Nijhof	ネイホフ
Nijhoff	ネイホフ
Nijhuis	ネイハウス
Noordermeer	ノールデルメール
Nooteboom	ノーテボーム
Norden	ノルデン
Notermans	ノーテルマンス
Numan	ニュマン
Oerlemans	ウルレマンス
Okker	オッケル
Olgers	オルヘルス
Olsthoorn	オルストールン
Onnes	オンネス
Ooijer	オーイェル
Oomen	オーメン
Oort	オールト
Oosterbeek	オーステルベーク
Oosterhuis	オーステルハウス
Oostindie	オースティンディー
Opstelten	オプステルテン
Osinga	オーシンハ、オーシンガ
Ossendrijver	オッセンドレイフェル
Overeem	オーヴェレーム
Paap	パープ
Pannekoek	パンネクック
Patijn	パテイン
Pauwels	パウエルス
Peeters	ペーテルス
Penders	ペンデルス
Peskens	ペスケンス
Peters	ペーテルス
Peutz	ペウツ
Pieters	ピーテルス
Pijl	ペイル
Pijlman	ペイルマン
Pijnacker	ペイナケル
Plesman	プレスマン
Ponjee	ポンエー、ポンエイ
Popma	ポプマ
Post	ポスト
Postma	ポストマ
Pot	ポット、ポッツ
Prakken	プラッケン
Prast	プラスト
Prins	プリンス
Prinsen	プリンセン
Rademakers	ラーデマケルス
Raemaekers	ラーエマーケルス
Reemer	レーメル
Reijnders	レインデルス
Reijseger	レイセヘル
Reintjes	レインチェス
Renooij	レノーイ
Rensenbrink	レンセンブリンク
Rietberg	リートベルフ
Rietveld	リートフェルト
Rijk	レイク
Rijkaard	レイカールト
Rijken	レイケン
Rijker	レイケル
Rijvers	レイヴェルス、レイフェルス
Robbemond	ロッベモント
Robben	ロッベン
Rodenburg	ローデンビュルフ
Roelofs	ルロフス
Roelvink	ルールフィンク
Roggeveen	ロッホフェーン
Rooijakkers	ローイアッケルス
Rook	ローク
Rooseboom	ローセボーム、ロウセボウム
Ruebens	ルーベンス
Ruijgh	ラウハ
Ruijten	ラウテン、ラウチェン
Ruiter	ラウテル
Rutte	ルッテ
Rutten	ルッテン
Samsom	サムソン
Sanders	サンデルス
Sassen	サッセン
Schaap	シャープ、スハープ
Schermerhorn	シェルメルホルン
Schilder	シルデル
Schimmelpenninck	シンメルペニンク
Schipper	スヒッペル
Scholten	スホルテン
Schoonderwoerd	スホーンデルヴルト
Schouten	シャウテン
Schrijver	スフレイヴェル
Schuringa	スフーリンハ
Slingerland	スリンゲルラント
Sloos	スロース
Smeets	スメーツ
Smeulders	スメールデルス
Smid	スミット
Smit	スミット
Smits	スミッツ
Somers	ソーメルス
Soutendijk	サウテンデイク
Sparreboom	スパレボーム
Staal	スタール
Staat	スタート
Steegmans	ステーフマンス
Sterrenburg	ステレンビュルフ
Stok	ストック
Stokkel	ストッケル
Stokvis	ストクフィス
Strikwerda	ストリークヴェルダ
Strobos	ストローボス
Struik	ストラウク
Struycken	ストラウケン
Stuyven	スタウヴェン、スタウフェン
Swaab	スヴァープ
Swinkels	スヴィンケルス
Tellegen	テレヘン
ten Boske	テン・ボスケ
ten Holt	テン・ホルト
Tent	テント
ter Haar	テル・ハール
ter Horst	テル・ホルスト
Teunissen	テーニセン
Thijssen	テイセン、タイセン
Thorbecke	トルベッケ
Tijhof	テイホフ
Timmermans	ティンメルマンス
Tinbergen	ティンベルヘン
Tonckens	トンケンス
Toonder	トーンデル
Top	トップ
Traas	トラース
Trienekens	トリーネケンス
Trompenaars	トロンペンアールス
Troost	トロースト
Uhlenbeck	ウーレンベック
Uytdehaage	アウテハーヘ
Valgaeren	ファルハーレン
van 't Hoff	ファント・ホッフ
van Aal	ファン・アール
van Aalten	ファン・アールテン
van Aerssen	ファン・アールセン
van Agt	ファン・アハト
van Aken	ファン・アーケン
van Amerongen	ファン・アーメロンゲン
van Amstel	ファン・アムステル
van As	ファン・アス
van Asperen	ファン・アスペレン
van Baaren	ファン・バーレン
van Barneveld	ファン・バルネヴェルト
van Basten	ファン・バステン
van Beek	ファン・ベーク
van Beers	ファン・ベールス
van Bergen	ファン・ベルヘン
van Beuge	ファン・ベーヘ
van Beuningen	ファン・ベーニンゲン
van Beyeren	ファン・ベイエレン
van Bommel	ファン・ボンメル
van Bosse	ファン・ボッセ
van Boven	ファン・ボーヴェン、ファン・ボーフェン
van Bree	ファン・ブレー、ファン・ブレイ
van Breukelen	ファン・ブレーケレン
van Broekhoven	ファン・ブルクホーフェン
van Broekhuizen	ファン・ブルクハウゼン
van Bronckhorst	ファン・ブロンクホルスト
van Buren	ファン・ビューレン
van Burk	ファン・ビュルク
van Buul	ファン・ビュル
van Buuren	ファン・ビューレン
van Buyten	ファン・バウテン、ファン・バユテン
van Campen	ファン・カンペン
van Daan	ファン・ダーン
van Dalen	ファン・ダーレン
van Dalsen	ファン・ダルセン
van Dam	ファン・ダム
van Damme	ファン・ダンメ
van de Berg	ファン・デ・ベルフ
van de Brink	ファン・デ・ブリンク
van de Kamp	ファン・デ・カンプ
van de Pol	ファン・デ・ポル
van de Putte	ファン・デ・ピュッテ
van de Veen	ファン・デ・フェーン
van de Velde	ファン・デ・フェルデ
van de Velden	ファン・デ・フェルデン
van de Ven	ファン・デ・フェン
van de Wal	ファン・デ・ヴァル
van de Weerdt	ファン・デ・ヴェールト
van Deelen	ファン・デーレン、ファン・デイレン
van Delden	ファン・デルデン
van Delen	ファン・デーレン
van Delft	ファン・デルフト
van den Berg	ファン・デン・ベルフ
van den Bergh	ファン・デン・ベルフ
van den Bleeken	ファン・デン・ブレーケン
van den Boogaard	ファン・デン・ボーハールト
van den Bos	ファン・デン・ボス
van den Bosch	ファン・デン・ボス
van den Brink	ファン・デン・ブリンク
van den Broeck	ファン・デン・ブルック
van den Broek	ファン・デン・ブルク
van den Ende	ファン・デン・エンデ
van den Heuvel	ファン・デン・フーヴェル
van den Hoek	ファン・デン・フック
van den Hoogenband	ファン・デン・ホーヘンバント
van den Hoonaard	ファン・デン・ホーナールト
van den Pol	ファン・デン・ポル
van den Velde	ファン・デン・フェルデ
van den Velden	ファン・デン・フェルデン
van den Vondel	ファン・デン・フォンデル
van der Bijl	ファン・デル・ベイル
van der Brugghen	ファン・デル・ブルッヘン
van der Burg	ファン・デル・ビュルフ
van der Dennen	ファン・デル・デネン
van der Elsken	ファン・デル・エルスケン
van der Ent	ファン・デル・エント
van der Gaag	ファン・デル・ハーフ
van der Geest	ファン・デル・ヘースト
van der Glas	ファン・デル・フラス
van der Goes	ファン・デル・フース
van der Graaf	ファン・デル・フラーフ
van der Grinten	ファン・デル・フリンテン
van der Groen	ファン・デル・フルン
van der Hagen	ファン・デル・ハーヘン
van der Heiden	ファン・デル・ヘイデン
van der Heijden	ファン・デル・ヘイデン
van der Helst	ファン・デル・ヘルスト
van der Heyden	ファン・デル・ヘイデン
van der Hoeve	ファン・デル・フーフェ
van der Hoeven	ファン・デル・フーフェン
van der Horst	ファン・デル・ホルスト
van der Hoven	ファン・デル・ホーフェン
van der Hulst	ファン・デル・ヒュルスト
van der Klooster	ファン・デル・クローステル
van der Kraan	ファン・デル・クラーン
van der Laan	ファン・デル・ラーン
van der Lee	ファン・デル・レー
van der Leeden	ファン・デル・レーデン
van der Leeuw	ファン・デル・レーウ
van der Linden	ファン・デル・リンデン
van der Lof	ファン・デル・ロフ
van der Maten	ファン・デル・マーテン
van der Meer	ファン・デル・メール
van der Meulen	ファン・デル・メーレン
van der Molen	ファン・デル・モーレン
van der Neut	ファン・デル・ネート
van der Plaat	ファン・デル・プラート
van der Plas	ファン・デル・プラース
van der Poel	ファン・デル・プール
van der Pol	ファン・デル・ポル
van der Putt	ファン・デル・ピュット
van der Sar	ファン・デル・サール
van der Sluis	ファン・デル・スラウス
van der Spek	ファン・デル・スペック
van der Steen	ファン・デル・ステーン
van der Stel	ファン・デル・ステル
van der Vaart	ファン・デル・ファールト
van der Veen	ファン・デル・フェーン
van der Velde	ファン・デル・フェルデ
van der Velden	ファン・デル・フェルデン
van der Ven	ファン・デル・フェン
van der Vleuten	ファン・デル・フレーテン
van der Vorst	ファン・デル・フォルスト
van der Waals	ファン・デル・ヴァールス
van der Wal	ファン・デル・ヴァル
van der Werf	ファン・デル・ヴェルフ
van der Westhuizen	ファン・デル・ヴェストハウゼン
van der Willigen	ファン・デル・ヴィリヘン
van der Zee	ファン・デル・ゼー
van Deudekom	ファン・デーデコム
van Deursen	ファン・デールセン
van Deurzen	ファン・デールゼン
van Dieren	ファン・ディーレン
van Dijck	ファン・デイク
van Dijk	ファン・デイク
van Dijken	ファン・デイケン
van Dillen	ファン・ディレン
van Domburg	ファン・ドンブルフ
van Dongen	ファン・ドンゲン
van Doorn	ファン・ドールン
van Dort	ファン・ドルト
van Driel	ファン・ドリール
van Drunen	ファン・ドルーネン、ファン・ドリューネン
van Duijn	ファン・ダウン
van Dyck	ファン・デイク、ファン・デック
van Eesteren	ファン・エーステレン
van Effen	ファン・エッフェン
van Egmond	ファン・エフモント
van Eijck	ファン・エイク
van Emden	ファン・エムデン
van Engel	ファン・エンゲル
van Engelen	ファン・エンゲレン
van Erven	ファン・エルヴェン
van Es	ファン・エス
van Essen	ファン・エッセン
van Eyck	ファン・エイク
van Galen	ファン・ハーレン
van Gelder	ファン・ヘルデル
van Gemert	ファン・ヘーメルト
van Gerven	ファン・ヘルフェン
van Gestel	ファン・ヘステル
van Gogh	ファン・ホッホ（ファン・ゴッホ）
van Gool	ファン・ホール
van Goolen	ファン・ホーレン
van Grinsven	ファン・フリンスフェン
van Groeningen	ファン・フルーニンゲン
van Haarlem	ファン・ハールレム
van Hall	ファン・ハール
van Ham	ファン・ハム
van Haperen	ファン・ハーペレン
van Haren	ファン・ハーレン
van Heemskerk	ファン・ヘームスケルク
van Heemstra	ファン・ヘームストラ
van Hemel	ファン・ヘーメル
van Herk	ファン・ヘルク
van Herpen	ファン・ヘルペン
van Heugten	ファン・ヘーフテン
van Heumen	ファン・ヘーメン
van Hijfte	ファン・ヘイフテ
van Hoegaerden	ファン・フハルデン
van Hoek	ファン・フック
van Hogendorp	ファン・ホーヘンドルプ
van Hoof	ファン・ホーフ
van Horne	ファン・ホールネ
van Hout	ファン・ハウト
van Houten	ファン・ハウテン
van Houwelingen	ファン・ハウエリンゲン
van Huis	ファン・ハウス
van Huizen	ファン・ハウゼン
van Hulst	ファン・ヒュルスト
van Immerseel	ファン・インメルセール
van Kammen	ファン・カンメン
van Kempen	ファン・ケンペン
van Kessel	ファン・ケッセル
van Keulen	ファン・ケーレン
van Kilsdonk	ファン・キルスドンク
van Klaveren	ファン・クラーフェレン
van Kooten	ファン・コーテン
van Kreeveld	ファン・クレーフェルト
van Krieken	ファン・クリーケン
van Laar	ファン・ラール
van Leer	ファン・レール
van Leest	ファン・レースト
van Leeuwen	ファン・レーヴェン、ファン・レイヴェン
van Leeuwenhoek	ファン・レーヴェンフック
van Lennep	ファン・レンネップ
van Leyden	ファン・レイデン
van Lier	ファン・リール
van Lieshout	ファン・リースハウト
van Ligtenberg	ファン・リフテンベルフ
van Lijnschooten	ファン・レインスホーテン
van Loenen	ファン・ルーネン
van Loo	ファン・ロー、ファン・ロウ
van Loon	ファン・ローン
van Looy	ファン・ローイ
van Lunsen	ファン・ルンセン
van Lynden	ファン・リンデン
van Maarseveen	ファン・マールセフェーン
van Marion	ファン・マリオン
van Marwijk	ファン・マルヴェイク
van Mechelen	ファン・メヘレン
van Mever	ファン・メーフェル
van Mil	ファン・ミル
van Mook	ファン・モーク
van Nassau	ファン・ナッサウ
van Nes	ファン・ネス
van Niekerk	ファン・ニーケルク
van Noordt	ファン・ノールト
van Oirschot	ファン・オイルスホット、ファン・オールスホット
van Onna	ファン・オンナ
van Ooij	ファン・オーイ
van Oort	ファン・オールト
van Oortmerssen	ファン・オールトメルッセン
van Oosten	ファン・オーステン
van Oosterzee	ファン・オーステルゼー、ファン・オーステルゼイ
van Os	ファン・オース
van Otterloo	ファン・オッテルロー
van Paassen	ファン・パーセン
van Panhuys	ファン・パンハウス
van Putten	ファン・ピュッテン、ファン・プッテン
van Ramselaar	ファン・ラムセラール
van Rees	ファン・レース
van Rennes	ファン・レンネス
van Riet	ファン・リート
van Rijn	ファン・レイン
van Rooij	ファン・ローイ
van Rooijen	ファン・ローイエン
van Roy	ファン・ロイ
van Schendel	ファン・スヘンデル
van Schijndel	ファン・シェインデル
van Slingelandt	ファン・スリンゲラント
van Soest	ファン・スースト
van Someren	ファン・ソーメレン
van Steenbergen	ファン・ステーンベルヘン
van Straaten	ファン・ストラーテン
van Strien	ファン・ストリーン
van Tellingen	ファン・テーリンゲン
van Tienhoven	ファン・ティーンホーヴェン
van Tongeren	ファン・トンヘレン
van Valkengoed	ファン・ファルケンフット
van Veen	ファン・フェーン
van Veenen	ファン・フェーネン
van Veenendaal	ファン・フェーネンダール
van Velsen	ファン・フェルセン
van Velthoven	ファン・フェルトホーフェン
van Vlerken	ファン・フレルケン
van Vliet	ファン・フリート
van Vugt	ファン・フュフト
van Wageningen	ファン・ヴァーヘニンゲン
van Wanrooij	ファン・ヴァンローイ
van Wassenhove	ファン・ヴァッセンホーフェ
van Werkhoven	ファン・ヴェルクホーフェン、ファン・ヴェルクホーヴェン
van Wesel	ファン・ヴェーゼル
van Wijk	ファン・ヴェイク
van Wijngaarden	ファン・ヴェイングハーデン
van Zweden	ファン・ズヴェーデン
van Zwieten	ファン・ズヴィーテン
Vanendert	ファネンデルト
Veenendaal	フェーネンダール
Veenstra	フェーンストラ
Veltman	フェルトマン
Vening	フェニング
Verbaan	フェルバーン
Verbeeck	フェルベーク
Verbeek	フェルベーク
Verbeke	フェルベーケ
Verberne	フェルベルネ
Verboom	フェルボーム、フェルボウム
Verbrugge	フェルブルッヘ
Verbruggen	フェルブルッヘン
Verhagen	フェルハーヘン
Verheij	フェルヘイ
Verheijen	フェルヘイエン
Verheul	フェルヘール
Verhey	フェルヘイ
Verhoeckx	フェルフックス
Verhoef	フェルフーフ
Verhoeven	フェルフーフェン
Verhulst	フェルヒュルスト
Verkaik	フェルカイク
Verkerk	フェルケルク
Verlinden	フェルリンデン
Vermeer	フェルメール
Vermeulen	フェルメーレン
Verouden	フェラウデン
Verschoor	フェルスホール
Versendaal	フェルセンダール
Verstappen	フェルスタッペン
Versteeg	フェルステーフ
Verweij	フェルヴェイ
Veuchelen	フェーヘレン
Vink	フィンク
Vinke	フィンケ
Visscher	フィッシェル
Visser	フィッセル
Vlaanderen	フラーンデレン
Voet	フット
Vonk	フォンク
Vorderman	フォルデルマン
Vos	フォス
Vreeswijk	フレースヴェイク
Vriens	フリンス
Vrienten	フリンテン
Vrolijk	フローレク
Wagenaar	ヴァヘナール
Wagtmans	ヴァハトマンス
Walraven	ヴォルラーフェン
Weeber	ヴェーベル、ヴェーバー
Weeda	ヴェーダ
Weenink	ヴェーニンク
Wemel	ヴェーメル
Westendorp	ヴェステンドルプ
Wieringa	ヴィーリンハ
Wiersma	ヴィールスマ
Wijfje	ヴェイフィエ
Wijker	ヴェイケル
Wijnands	ヴェイナンツ
Wilkes	ヴィルケス
Willems	ヴィレムス
Willemse	ヴィレムセ
Willemsen	ヴィレムセン
Winkel	ヴィンケル
Wintershoven	ヴィンテルスホーヴェン
Witschge	ヴィツヘ
Witteryck	ヴィッテリック
Witteveen	ヴィッテヴェーン、ヴィッテフェーン
Wolters	ヴォルテルス
Wouters	ヴァウテルス
Xhofleer	クショフレール
Zeeman	ゼーマン
Zenden	ゼンデン
Zernike	ゼルニケ
Zijlstra	ゼイルストラ
Zoetemelk	ズーテメルク
Zondag	ゾンダーハ
Zonnenberg	ゾンネンベルフ
Zonneveld	ゾンネフェルト
Zwart	ズヴァルト
Zwarts	ズヴァルツ
