Abeska	アベスカ
Flek	フレク
Flídr	フリードル
Florián	フロリアーン
Florian	フロリアン
Fojt	フォイト
Fojtík	フォイチーク
Fojtů	フォイトゥー
Folta	フォルタ
Foltýn	フォルティーン
Formánek	フォルマーネク
Fořt	フォジュト
Fousek	フォウセク
Franek	フラネク
Franěk	フラニェク
Franta	フランタ
Frič	フリチュ
Fric	フリツ
Frolík	フロリーク
Froněk	フロニェク
Fryč	フリチュ
Frýdl	フリードル
Frydrych	フリドリフ
Fučík	フチーク
Fulín	フリーン
Fusek	フセク
Gábor	ガーボル
Gajda	ガイダ
Gajdoš	ガイドシュ
Gajdošík	ガイドシーク
Gál	ガール
Gašpar	ガシュパル
Gazdík	ガズディーク
Gaži	ガジ
Gregor	グレゴル
Grepl	グレプル
Grošek	グロシェク
Hadač	ハダチュ
Hadrava	ハドラヴァ
Hájek	ハーイエク
Hajný	ハイニー
Hák	ハーク
Hakl	ハクル
Hála	ハーラ
Halama	ハラマ
Halík	ハリーク
Halíř	ハリーシュ
Halouzka	ハロウスカ
Haluška	ハルシュカ
Haluza	ハルザ
Hamáček	ハマーチェク
Hamerník	ハメルニーク
Hána	ハーナ
Hanáček	ハナーチェク
Hanák	ハナーク
Handl	ハンドル
Hanko	ハンコ
Hanousek	ハノウセク
Hanus	ハヌス
Hanuš	ハヌシュ
Hanzelka	ハンゼルカ
Hanzlíček	ハンズリーチェク
Hanzlík	ハンズリーク
Hartl	ハルトル
Hašek	ハシェク
Havel	ハヴェル
Havelka	ハヴェルカ
Havlíček	ハヴリーチェク
Havlík	ハヴリーク
Havlín	ハヴリーン
Havran	ハヴラン
Havránek	ハヴラーネク
Havrda	ハヴルダ
Hečko	ヘチュコ
Hejda	ヘイダ
Hejduk	ヘイドゥク、ヘイドゥック
Hejl	ヘイル
Hejna	ヘイナ
Hejný	ヘイニー
Hejtmánek	ヘイトマーネク
Helešic	ヘレシツ
Heller	ヘッレル
Hendrych	ヘンドリフ
Henzl	ヘンズル
Herák	ヘラーク
Hercík	ヘルツィーク
Heřman	ヘジュマン
Heřmánek	ヘジュマーネク
Herzán	ヘルザーン
Hladík	ハラディーク
Hladký	ハラトキー
Hlava	ハラヴァ
Hlaváč	ハラヴァーチュ
Hlavač	ハラヴァチュ
Hlaváček	ハラヴァーチェク
Hlavaček	ハラヴァチェク
Hlavatý	ハラヴァティー
Hlavica	ハラヴィツァ
Hlavička	ハラヴィチュカ
Hlavinka	ハラヴィンカ
Hlávka	ハラーフカ
Hlavnička	ハラヴニチュカ
Hlavsa	ハラフサ
Hlinka	ハリンカ
Hloušek	ハロウシェク
Hložek	ハロジェク
Hlubuček	ハルブチェク
Hnát	ハナート
Hnátek	ハナーテク
Hnilička	ハニリチュカ
Hnízdil	ハニーズディル
Hodek	ホデク
Hofírek	ホフィーレク
Holásek	ホラーセク
Holčák	ホルチャーク
Holec	ホレツ
Holeček	ホレチェク
Holek	ホレク
Holeš	ホレシュ
Holický	ホリツキー
Holík	ホリーク
Holinka	ホリンカ
Holiš	ホリシュ
Holomek	ホロメク
Holoubek	ホロウベク
Holub	ホルプ
Holubec	ホルベツ
Holuša	ホルシャ
Holý	ホリー
Honzík	ホンズィーク
Horaček	ホラチェク
Horáček	ホラーチェク
Horák	ホラーク
Hořák	ホジャーク
Horálek	ホラーレク
Horčička	ホルチチュカ
Hořejší	ホジェイシー
Hořínek	ホジーネク
Horký	ホルキー
Horňák	ホルニャーク
Horníček	ホルニーチェク
Horník	ホルニーク
Horský	ホルスキー
Horvát	ホルヴァート
Horyna	ホリナ
Hošek	ホシェク
Hotárek	ホターレク
Hotový	ホトヴィー
Houdek	ホウデク
Houska	ホウスカ
Houška	ホウシュカ
Houžvička	ホウジュヴィチュカ
Hovorka	ホヴォルカ
Hozák	ホザーク
Hrabák	ハラバーク
Hrabal	ハラバル
Hrabánek	ハラバーネク
Hrabě	ハラビェ
Hrabec	ハラベツ
Hrabovský	ハラボフスキー
Hrachovec	ハラホヴェツ
Hradecký	ハラデツキー
Hrádek	ハラーデク
Hradil	ハラディル
Hradský	ハラツキー
Hrazdil	ハラズディル
Hrbáč	ハルバーチュ
Hrbáček	ハルバーチェク
Hrbek	ハルベク
Hrdina	ハルディナ
Hrdlička	ハルドリチュカ
Hrdý	ハルディー
Hřebíček	ハジェビーチェク
Hrnčíř	ハルンチーシュ
Hroch	ハロフ
Hromada	ハロマダ
Hromádka	ハロマートカ
Hromek	ハロメク
Hron	ハロン
Hronek	ハロネク
Hrouda	ハロウダ
Hrstka	ハルストカ
Hrubeš	ハルベシュ
Hrubý	ハルビー
Hruška	ハルシュカ
Hrůza	ハルーザ
Hubáček	フバーチェク
Hubálek	フバーレク
Hubený	フベニー
Hubka	フプカ
Hudák	フダーク
Hudec	フデツ
Hudeček	フデチェク
Hůla	フーラ
Hůlka	フールカ
Huml	フムル
Hůrka	フールカ
Hurta	フルタ
Husák	フサーク
Husár	フサール
Hušek	フシェク
Hvězda	ハヴェズダ
Hynek	ヒネク
Hýsek	ヒーセク
Indra	インドラ
Indrák	インドラーク
Jabůrek	ヤブーレク
Jadrný	ヤドルニー
Jagoš	ヤゴシュ
Jahoda	ヤホダ
Jakeš	ヤケシュ
Jakl	ヤクル
Jákl	ヤークル
Jakoubek	ヤコウベク
Jakubec	ヤクベツ
Jakubík	ヤクビーク
Jalůvka	ヤルーフカ
Janáč	ヤナーチュ
Janáček	ヤナーチェク
Janák	ヤナーク
Janata	ヤナタ
Janča	ヤンチャ
Jančík	ヤンチーク
Janda	ヤンダ
Jandaček	ヤンダチェク
Jandík	ヤンディーク
Janeček	ヤネチェク
Janečka	ヤネチュカ
Janek	ヤネク
Janiček	ヤニチェク
Janíček	ヤニーチェク
Janík	ヤニーク
Janiš	ヤニシュ
Jankovič	ヤンコヴィチュ
Jankovský	ヤンコフスキー
Janků	ヤンクー
Janoš	ヤノシュ
Janošek	ヤノシェク
Janošík	ヤノシーク
Janota	ヤノタ
Janouch	ヤノウフ
Janouš	ヤノウシュ
Janoušek	ヤノウシェク
Janovský	ヤノフスキー
Jánský	ヤーンスキー
Janský	ヤンスキー
Janů	ヤヌー
Januš	ヤヌシュ
Jareš	ヤレシュ
Jarkovský	ヤルコフスキー
Jarolím	ヤロリーム
Jarolímek	ヤロリーメク
Jaroš	ヤロシュ
Jarošík	ヤロシーク
Jarý	ヤリー
Jašek	ヤシェク
Javorský	ヤヴォルスキー
Javůrek	ヤヴーレク
Jebavý	イエバヴィー
Jech	イエフ
Jedlička	イエドリチュカ、イェドリチュカ
Jehlička	イエフリチュカ
Jelínek	イエリーネク
Jemelka	イエメルカ
Jeníček	イエニーチェク
Jeník	イエニーク
Jeřábek	イエジャーベク
Jeremiáš	イェレミアーシュ
Jež	イエシュ
Ježek	イエジェク
Jícha	イーハ
Jílek	イーレク
Jindra	インドラ
Jindřich	インドジフ
Jíra	イーラ
Jiráček	イラーチェク
Jirák	イラーク
Jiránek	イラーネク
Jirásek	イラーセク
Jireš	イレシュ
Jiříček	イジーチェク
Jiřička	イジチュカ
Jiřík	イジーク
Jirka	イルカ
Jirkovský	イルコフスキー
Jirků	イルクー
Jirouš	イロウシュ
Jiroušek	イロウシェク
Jirout	イロウト
Jírovec	イーロヴェツ
Jirsa	イルサ
Jíša	イーシャ
Jonák	ヨナーク
Jonáš	ヨナーシュ
Jordán	ヨルダーン
Jukl	ユクル
Junek	ユネク
Juračka	ユラチュカ
Jurák	ユラーク
Juráň	ユラーン
Juránek	ユラーネク
Jurásek	ユラーセク
Jurášek	ユラーシェク
Jurča	ユルチャ
Jurčík	ユルチーク
Jureček	ユレチェク
Jurečka	ユレチュカ
Jurek	ユレク
Juřena	ユジェナ
Juřica	ユジツァ
Juříček	ユジーチェク
Juřička	ユジチュカ
Juřík	ユジーク
Jurka	ユルカ
Jůza	ユーザ
Kabát	カバート
Kabeláč	カベラーチュ
Kabelka	カベルカ
Kábrt	カーブルト
Kačer	カチェル
Kachlík	カフリーク
Kačírek	カチーレク
Kadavý	カダヴィー
Kadeřábek	カデジャーベク
Kadlčákov	カドルチャーコフ
Kadlček	カドルチェク
Kadlčík	カドルチーク
Kadlec	カドレツ
Kadleček	カドレチェク
Kafka	カフカ
Kahánek	カハーネク
Kaláb	カラープ
Kalaš	カラシュ
Kalčík	カルチーク
Kaleja	カレヤ
Kaleta	カレタ
Kalina	カリナ
Kališ	カリシュ
Kalivoda	カリヴォダ
Kalous	カロウス
Kalousek	カロウセク
Kaluža	カルジャ
Kalvoda	カルヴォダ
Kamenický	カメニツキー
Kameník	カメニーク
Kamenský	カメンスキー
Káňa	カーニャ
Kaňa	カニャ
Kaňák	カニャーク
Kaňka	カンカ
Kaňkovský	カンコフスキー
Kaňok	カニョク
Kapoun	カポウン
Karafiát	カラフィアート
Karas	カラス
Karásek	カラーセク
Karel	カレル
Kareš	カレシュ
Karlík	カルリーク
Kárník	カールニーク
Karpíšek	カルピーシェク
Kasal	カサル
Kaše	カシェ
Kašík	カシーク
Kasík	カシーク
Kaška	カシュカ
Kasl	カスル
Kašný	カシュニー
Kašpar	カシュパル
Kašpárek	カシュパーレク
Kaštánek	カシュターネク
Kaucký	カウツキー
Kavka	カフカ
Kazda	カズダ
Kilián	キリアーン
Kincl	キンツル
Klapka	クラプカ
Klásek	クラーセク
Klečka	クレチュカ
Klíč	クリーチュ
Klička	クリチュカ
Klika	クリカ
Klíma	クリーマ
Klimek	クリメク
Klímek	クリーメク
Klimeš	クリメシュ
Klimša	クリムシャ
Klofáč	クロファーチュ
Klouček	クロウチェク
Klouda	クロウダ
Klusáček	クルサーチェク
Klusák	クルサーク
Kment	クメント
Kmoníček	クモニーチェク
Knápek	クナーペク
Knížek	クニージェク
Knotek	クノテク
Kobliha	コブリハ
Koblížek	コブリージェク
Kobylka	コビルカ
Kočí	コチー
Kocián	コツィアーン
Kočka	コチュカ
Kocourek	コツォウレク
Kočvara	コチュヴァラ
Kofroň	コフロン
Kohoutek	コホウテク
Kokeš	コケシュ
Kokoška	ココシュカ
Koky	コキ
Koláček	コラーチェク
Koláčný	コラーチュニー
Kolaja	コラヤ
Kolář	コラーシュ
Kolařík	コラジーク
Kolda	コルダ
Kolek	コレク
Kolínek	コリーネク
Kolínský	コリーンスキー
Kolomazník	コロマズニーク
Komárek	コマーレク
Komenda	コメンダ
Komenský	コメンスキー
Komínek	コミーネク
Komzák	コムザーク
Koňařík	コニャジーク
Konečný	コネチュニー
Koníček	コニーチェク
Konopásek	コノパーセク
Konvalinka	コンヴァリンカ
Konvička	コンヴィチュカ
Konvičný	コンヴィチュニー
Kopáček	コパーチェク
Kopačka	コパチュカ
Kopal	コパル
Kopeček	コペチェク
Kopecký	コペツキー
Kopečný	コペチュニー
Kopřiva	コプシヴァ
Kořán	コジャーン
Koranda	コランダ
Korčák	コルチャーク
Kordík	コルディーク
Korec	コレツ
Korecký	コレツキー
Kořenek	コジェネク
Kořínek	コジーネク
Kos	コス
Košař	コシャシュ
Kosař	コサシュ
Košek	コシェク
Kosek	コセク
Kosík	コシーク
Kosina	コシナ
Košťál	コシュチャール
Kostelecký	コステレツキー
Kostelník	コステルニーク
Kostka	コストカ
Kotas	コタス
Kotásek	コターセク
Kotek	コテク
Kotík	コチーク
Kotlár	コトラール
Kotrba	コトルバ
Kotrč	コトルチュ
Kouba	コウバ
Koubek	コウベク
Koucký	コウツキー
Koudela	コウデラ
Koudelka	コウデルカ
Koukal	コウカル
Kouřil	コウジル
Koutník	コウトニーク
Koutný	コウトニー
Koutský	コウツキー
Kováč	コヴァーチュ
Kováčik	コヴァーチク
Koval	コヴァル
Kovalčík	コヴァルチーク
Kovanda	コヴァンダ
Kovář	コヴァーシュ
Kovářík	コヴァージーク
Kovařík	コヴァジーク
Kozák	コザーク
Kozel	コゼル
Koželuh	コジェルフ
Kožený	コジェニー
Kožíšek	コジーシェク
Kozlík	コズリーク
Kozubík	コズビーク
Kožušník	コズシュニーク
Kracík	クラツィーク
Kráčmar	クラーチュマル
Krahulec	クラフレツ
Krajča	クライチャ
Krajčovič	クライチョヴィチュ
Krajíček	クライーチェク
Krákora	クラーコラ
Král	クラール
Králíček	クラーリーチェク
Králík	クラーリーク
Kramář	クラマーシュ
Krása	クラーサ
Krásný	クラースニー
Krátký	クラートキー
Kratochvíl	クラトフヴィール
Kratochvil	クラトフヴィル
Krbec	クルベツ
Krč	クルチュ
Krčál	クルチャール
Krček	クルチェク
Krčma	クルチュマ
Krčmář	クルチュマーシュ
Křeček	クシェチェク
Krejča	クレイチャ
Krejcar	クレイツァル
Krejčí	クレイチー
Krejčík	クレイチーク
Krejčíř	クレイチーシュ
Krejčiřík	クレイチジーク
Krejsa	クレイサ
Krejza	クレイザ
Křen	クシェン
Křenek	クシェネク
Křepelka	クシェペルカ
Křesťan	クシェスチャン
Křička	クシチュカ
Křikava	クシカヴァ
Krist	クリスト
Křístek	クシーステク
Kristek	クリステク
Krištof	クリシュトフ
Křivan	クシヴァン
Křivánek	クシヴァーネク
Křivka	クシフカ
Křivský	クシフスキー
Kříž	クシーシュ
Križ	クリシュ
Křížek	クシージェク
Krkoška	クルコシュカ
Krobot	クロボト
Kročil	クロチル
Kropáč	クロパーチュ
Kropáček	クロパーチェク
Kroščen	クロシュチェン
Kroupa	クロウパ
Kroutil	クロウチル
Krpálek	クルパーレク
Krpec	クルペツ
Krsek	クルセク
Krška	クルシュカ
Kruliš	クルリシュ
Krupa	クルパ
Krupička	クルピチュカ
Krupka	クルプカ
Krušina	クルシナ
Krůta	クルータ
Kružík	クルジーク
Kryštof	クリシュトフ
Kubala	クバラ
Kubálek	クバーレク
Kubáň	クバーン
Kubánek	クバーネク
Kubásek	クバーセク
Kubát	クバート
Kubec	クベツ
Kubeček	クベチェク
Kubečka	クベチュカ
Kubelík	クベリーク
Kubelka	クベルカ
Kuběna	クビェナ
Kubeš	クベシュ
Kubica	クビツァ
Kubíček	クビーチェク
Kubík	クビーク
Kubín	クビーン
Kubiš	クビシュ
Kubišta	クビシュタ
Kubů	クブー
Kuča	クチャ
Kučera	クチェラ
Kuchař	クハシュ
Kuchařík	クハジーク
Kuchta	クフタ
Kučírek	クチーレク
Kudela	クデラ
Kudělka	クジェルカ
Kudláček	クドラーチェク
Kudlička	クドリチュカ
Kudrna	クドルナ
Kufa	クファ
Kukačka	クカチュカ
Kukla	ククラ
Kuklík	ククリーク
Kulhánek	クルハーネク
Kulhavý	クルハヴィー
Kulich	クリフ
Kulík	クリーク
Kulíšek	クリーシェク
Kuna	クナ
Kundrát	クンドラート
Kuneš	クネシュ
Kupčík	クプチーク
Kupec	クペツ
Kupka	クプカ
Kurečka	クレチュカ
Kůrka	クールカ
Kurka	クルカ
Kůs	クース
Kusák	クサーク
Kusý	クスィー
Kutil	クチル
Kutílek	クチーレク
Kužel	クジェル
Kužela	クジェラ
Kvapil	クヴァピル
Kvasnička	クヴァスニチュカ
Květoň	クヴェトン
Kyncl	キンツル
Kysela	キセラ
Kyselý	キセリー
Lakatoš	ラカトシュ
Lakomý	ラコミー
Lamač	ラマチュ
Landa	ランダ
Langr	ラングル
Láník	ラーニーク
Lánský	ラーンスキー
Lapčík	ラプチーク
Lasák	ラサーク
Láska	ラースカ
Laštovička	ラシュトヴィチュカ
Laštovka	ラシュトフカ
Laštůvka	ラシュトゥーフカ
Látal	ラータル
Lavička	ラヴィチュカ
Lazar	ラザル
Láznička	ラーズニチュカ
Lebeda	レベダ
Ledvina	レドヴィナ
Ledvinka	レドヴィンカ
Lehký	レフキー
Lejsek	レイセク
Lekeš	レケシュ
Lelek	レレク
Lepka	レプカ
Lesák	レサーク
Levý	レヴィー
Lhoták	ルホターク
Lhotský	ルホツキー
Líbal	リーバル
Lindovský	リンドフスキー
Linek	リネク
Lipka	リプカ
Lipovský	リポフスキー
Lipský	リプスキー
Lipták	リプターク
Liška	リシュカ
Lisý	リスィー
Lněnička	ルニェニチュカ
Lošťák	ロシュチャーク
Loučka	ロウチュカ
Louda	ロウダ
Loukota	ロウコタ
Ludvík	ルドヴィーク
Lukáč	ルカーチュ
Lukáš	ルカーシュ
Lukášek	ルカーシェク
Lukeš	ルケシュ
Luňáček	ルニャーチェク
Luňák	ルニャーク
Lupač	ルパチュ
Lyčka	リチュカ
Lysák	リサーク
Máca	マーツァ
Macák	マツァーク
Mácal	マーツァル
Maceček	マツェチェク
Macek	マツェク
Mach	マフ
Mácha	マーハ
Macháč	マハーチュ
Machač	マハチュ
Macháček	マハーチェク
Machala	マハラ
Machálek	マハーレク
Machek	マヘク
Machovec	マホヴェツ
Machů	マフー
Macík	マツィーク
Macků	マツクー
Maděra	マジェラ
Mádr	マードル
Mahdal	マフダル
Makovec	マコヴェツ
Makovička	マコヴィチュカ
Makovský	マコフスキー
Makula	マクラ
Malát	マラート
Malec	マレツ
Maleček	マレチェク
Málek	マーレク
Malík	マリーク
Mališ	マリシュ
Malý	マリー
Maňák	マニャーク
Maňásek	マニャーセク
Mandík	マンディーク
Mandlík	マンドリーク
Mánek	マーネク
Mára	マーラ
Mareček	マレチェク
Marek	マレク
Mareš	マレシュ
Mařík	マジーク
Markovič	マルコヴィチュ
Maroušek	マロウシェク
Maršálek	マルシャーレク
Maršík	マルシーク
Martinák	マルチナーク
Martinec	マルチネツ
Martinek	マルチネク
Martínek	マルチーネク
Martiník	マルチニーク
Martinovský	マルチノフスキー
Martinů	マルチヌー
Martynek	マルティネク
Maryška	マリシュカ
Máša	マーシャ
Masařík	マサジーク
Mašek	マシェク
Mašín	マシーン
Maška	マシュカ
Masopust	マソプスト
Maštalíř	マシュタリーシュ
Mastný	マストニー
Matěj	マチェイ
Matějček	マチェイチェク
Matějíček	マチェイーチェク
Matějka	マチェイカ
Matějovský	マチェヨフスキー
Matějů	マチェユー
Mátl	マートル
Matouš	マトウシュ
Matoušek	マトウシェク
Matula	マトゥラ
Matura	マトゥラ
Matušek	マトゥシェク
Matuška	マトゥシュカ
Matyáš	マティアーシュ
Matys	マティス
Matýsek	マティーセク
Mazáč	マザーチュ
Mazal	マザル
Mazanec	マザネツ
Mazánek	マザーネク
Mazur	マズル
Měchura	メフラ
Medek	メデク
Meduna	メドゥナ
Mejzlík	メイズリーク
Melichar	メリハル
Melka	メルカ
Mencl	メンツル
Menšík	メンシーク
Měrka	メルカ
Merta	メルタ
Mertl	メルトル
Metelka	メテルカ
Míča	ミーチャ
Míček	ミーチェク
Michal	ミハル
Míchal	ミーハル
Michalčík	ミハルチーク
Michalec	ミハレツ
Michálek	ミハーレク
Michalík	ミハリーク
Michl	ミフル
Michna	ミフナ
Mička	ミチュカ
Mika	ミカ
Míka	ミーカ
Mikel	ミケル
Mikeš	ミケシュ
Mikeska	ミケスカ
Miklík	ミクリーク
Miko	ミコ
Mikoláš	ミコラーシュ
Mikolášek	ミコラーシェク
Mikšík	ミクシーク
Mikšovský	ミクショフスキー
Mikula	ミクラ
Mikuláš	ミクラーシュ
Mikulášek	ミクラーシェク
Mikulec	ミクレツ
Mikulecký	ミクレツキー
Mikulenka	ミクレンカ
Mikulík	ミクリーク
Mikulka	ミクルカ
Mikuš	ミクシュ
Milota	ミロタ
Minář	ミナーシュ
Minarčík	ミナルチーク
Minařík	ミナジーク
Míšek	ミーシェク
Miškovský	ミシュコフスキー
Mitáš	ミターシュ
Mizera	ミゼラ
Mládek	ムラーデク
Mlčák	ムルチャーク
Mlejnek	ムレイネク
