Abel	アーベル
Bitterauf	ビッテラウフ
Bittman	ビットマン
Bittner	ビットナー
Bixler	ビクスラー
Blacher	ブラッハー
Bland	ブラント
Blank	ブランク
Blanke	ブランケ
Blankenheim	ブランケンハイム
Blarr	ブラル
Blech	ブレッヒ
Bleibtreu	ブライプトロイ
Bloch	ブロッホ
Blochwitz	ブロホヴィッツ
Blomberg	ブロムベルク
Blon	ブロン
Blossfeldt	ブロスフェルト
Blücher	ブリュヒャー
Bluhm	ブルーム
Blühm	ブリューム
Blüm	ブリューム
Blume	ブルーメ
Blumentahl	ブルーメンタール
Blumenthal	ブルーメンタール
Blumer	ブルマー
Bobzien	ボプツィーン
Bochmann	ボッホマン
Böckle	ベックレ
Bodart	ボダルト
Bode	ボーデ
Bodenschatz	ボーデンシャッツ
Böhe	ベーエ
Bohländer	ボーレンダー
Böhler	ベーラー
Böhlke	ベールケ
Bohlscheid	ボールシャイト
Böhm	ベーム
Bohme	ボーメ
Böhme	ベーメ
Bohringer	ボーリンガー
Bohrmann	ボーアマン、ボールマン
Böll	ベル
Bollmann	ボルマン
Boltzmann	ボルツマン
Bolz	ボルツ
Bonhof	ボンホフ
Bonmann	ボンマン
Bonno	ボンノ
Borchard	ボルヒャルト
Borchert	ボルヒェルト
Bordewich	ボーデヴィヒ
Borel	ボレル
Bork	ボルク
Bornefeld	ボルネフェルト
Bornemann	ボルネマン
Börner	ベルナー
Bornmann	ボルンマン
Börtz	ベルツ
Bösch	ベッシュ
Bose	ボーゼ
Böse	ベーゼ
Bötel	ベーテル
Böttcher	ベッチャー
Böttner	ベットナー
Bovenschen	ボーヴェンシェン
Brahms	ブラームス
Brand	ブラント
Brandenburg	ブランデンブルク
Brandmüller	ブラントミュラー
Brandt	ブラント
Bransch	ブランシュ
Bräuer	ブラウアー
Brauer	ブラウアー
Braunfels	ブラウンフェルス
Braunschweig	ブラウンシュヴァイク
Brecher	ブレヒャー
Brecht	ブレヒト
Brehme	ブレーメ
Breitenbach	ブライテンバッハ
Breitenreiter	ブライテンライター
Breitkreutz	ブライトクロイツ
Breitner	ブライトナー
Brencke	ブレンケ
Brenneis	ブレンナイス
Breternitz	ブレターニッツ
Breuer	ブロイアー
Breul	ブロイル
Briegel	ブリーゲル
Briesemeister	ブリーゼマイスター
Bringmann	ブリングマン
Brinkmann	ブリンクマン
Britze	ブリッツェ
Bröcker	ブレッカー
Brokmeier	ブロックマイアー
Brömme	ブレンメ
Bronsart	ブロンザルト
Brost	ブロスト
Bruch	ブルッホ
Brückel	ブリュッケル
Brückner	ブリュックナー
Bruckner	ブルックナー
Brügel	ブリューゲル
Brühl	ブリュール
Bruhns	ブルーンス
Brüll	ブリュル
Brün	ブリュン
Brunold	ブルノルト
Brunsmeier	ブルンスマイアー
Bücher	ビュヒャー
Buchholz	ブッフホルツ
Buchmayer	ブフマイヤー
Buchner	ブフナー
Büchner	ビュヒナー
Buchwald	ブッフバルト
Buck	ブック
Buckel	ブッケル
Buers	ビュルス
Buff	ブーフ
Bugenhagen	ブーゲンハーゲン
Buhrmester	ブーアメスター
Bülow	ビューロー
Bungert	ブンゲルト
Bünte	ビュンテ
Burckhardt	ブルクハルト
Bürgener	ビュルゲナー
Burgmüller	ブルクミュラー
Burgstaller	ブルクスタラー
Burgwinkel	ブルクヴィンケル
Bürkner	ビュルクナー
Burmeister	ブルマイスター
Burmester	ブルメスター
Bus	ブス
Busch	ブッシュ
Buschbaum	ブッシュバウム
Buschkötter	ブシュケッター
Büskens	ビュシュケンス
Büssel	ビュッセル
Büsser	ビュッサー
Bütow	ビュートウ
Buttgereit	ブットゲライト
Butting	ブッティング
Büttner	ビュットナー
Buttstett	ブットシュテット
Cannabich	カンナビヒ
Capell	カペル
Carrosa	カロッサ
Cassirer	カシラー、カッシラー
Cerha	チェルハ
Christaller	クリスタラー
Classen	クラッセン
Clausewitz	クラウゼヴィッツ
Clewing	クレヴィング
Coesfeld	コースフェルト
Conz	コンツ
Cornelius	コルネリウス
Corrinth	コリント
Cranach	クラナッハ
Cremer	クレマー
Crüger	クリューガー
Cullmann	クルマン
Cunitz	クーニッツ
Dahlgrün	ダールグリュン
Dahlmann	ダールマン
Dahlmeier	ダールマイアー
Daimler	ダイムラー
Dalberg	ダールベルク
Damisch	ダーミッシュ
Dammenhayn	ダンメンハイン
Dammer	ダマー
Dangelmayr	ダンゲルマイヤー
Danner	ダンナー
Danzi	ダンツィ
Däubler	ドイブラー
Daudert	ダウデルト
Daum	ダウム
David	ダーヴィト
Dedekind	デデキント
Dehmel	デーメル
Dehner	デーナー
Deisler	ダイスラー
Delbrück	デルブリュック
Delius	デリウス
Demantius	デマンティウス
Deneke	デーネケ
Dengler	デングラー
Derlien	デルリーン
Desener	デーゼナー
Dessau	デッサウ
Dessel	デッセル
Dett	デット
Dettmer	デットマー
Detzen	デツェン
Deutsch	ドイチュ
Deutschmann	ドイッチュマン
Dichler	ディヒラー
Dickhaut	ディックハウト
Diebold	ディーボルト
Dieckmann	ディークマン
Diegelmann	ディーゲルマン
Diehl	ディール
Diekmeier	ディークマイアー
Diels	ディールス
Diers	ディールス
Diesburg	ディースブルク
Diesel	ディーゼル
Diesing	ディージング
Dieskau	ディースカウ
Diestel	ディーステル
Diesterweg	ディースターヴェーク
Dieterle	ディターレ
Dietrich	ディートリヒ
Dietz	ディーツ
Dietze	ディーツェ
Dietzel	ディーツェル
Dietzgen	ディーツゲン
Dihanich	ディハニヒ
Dilthey	ディルタイ
Dindorf	ディンドルフ
Dinger	ディンガー
Dingfelder	ディングフェルダー
Dinkel	ディンケル
Dippel	ディッペル
Disselhorst	ディッセルホルスト
Distler	ディストラー
Ditjens	ディトイェンス
Dittenberger	ディッテンベルガー
Dittersdorf	ディッタースドルフ
Dittrich	ディットリヒ
Döbereiner	デーベライナー
Dobner	ドプナー
Doles	ドーレス
Döllinger	デリンガー
Doms	ドムス
Donath	ドナート
Donauer	ドナウアー
Dönitz	デーニッツ
Doppelbauer	ドッペルバウアー
Dorn	ドルン
Dörpfeld	デルプフェルト
Dörr	デーア
Dostal	ドスタル
Dräseke	ドレーゼケ
Dreher	ドレーアー
Dremmler	ドレムラー
Drese	ドレーゼ
Dressel	ドレッセル
Dressler	ドレスラー
Drewanz	ドレヴァンツ
Drewes	ドレヴェス
Dreyer	ドライヤー
Dreyfuss	ドライフース
Dücke	デュッケ
Ducke	ドゥッケ
Dücker	デュカー
Dudenhöffer	ドゥーデンヘッファー
Dühring	デューリング
Dülfer	デュルファー
Dümmler	デュムラー
Dunckel	ドゥンケル
Dünnwald	デュンヴァルト
Dürer	デューラー
Düringer	デューリンガー
Durm	ドゥルム、ドゥアム
Dürrler	デュルラー
Duse	ドゥーゼ
Ebbinghaus	エビングハウス
Ebel	エーベル
Eberhardt	エーベルハルト
Eberlin	エーベルリン
Ebers	エーベルス
Eberth	エーベルト
Eberwein	エーベルヴァイン
Eccard	エッカルト
Eck	エック
Eckener	エッケナー
Eckermann	エッカーマン
Eckert	エッケルト
Eckhardt	エクハルト
Eckhart	エックハルト
Eckhof	エックホーフ
Edel	エーデル
Edelmann	エーデルマン
Edelstein	エーデルシュタイン
Eden	エーデン
Ederer	エデラー
Edinger	エディンガー
Effenberg	エッフェンベルク
Effenberger	エッフェンベルガー
Efler	エフラー
Egel	エーゲル
Eggebrecht	エッゲブレヒト
Eggeling	エッゲリング
Eggers	エッガース
Eggert	エッゲルト、エッガルト
Egner	エグナー
Ehle	エーレ
Ehlers	エーラース
Ehrenberg	エーレンベルク
Ehrenfels	エーレンフェルス
Ehrenfest	エーレンフェスト
Ehrenfreund	エーレンフロイント
Ehrenfried	エーレンフリート
Ehrlich	エールリヒ
Eibenschütz	アイベンシュッツ
Eichberg	アイヒベルク
Eichberger	アイヒベルガー
Eichel	アイヒェル
Eichendorff	アイヒェンドルフ
Eichhorn	アイヒホルン
Eichinger	アイヒンガー
Eichler	アイヒラー
Eichmann	アイヒマン
Eichrodt	アイヒロート
Eickhorst	アイクホルスト
Eickstädt	アイクシュテット
Eigel	アイゲル
Eigen	アイゲン
Eigenrauch	アイゲンラウホ
Eigler	アイクラー
Eilenberg	アイレンベルク
Eilts	アイルツ
Eimer	アイマー
Eimert	アイメルト
Einem	アイネム
Einhard	アインハルト
Eisenhut	アイゼンフート
Eisenlauer	アイゼンラウアー
Eisenschmid	アイゼンシュミット
Eisenstadt	アイゼンシュタット
Eisinger	アイジンガー
Eisler	アイスラー
Eisner	アイスナー
Elert	エーレルト
Ellmenreich	エルメンライヒ
Elsheimer	エルスハイマー
Elster	エルスター
Emmerich	エメリヒ
Emmert	エメルト
Encke	エンケ
Ende	エンデ
Enders	エンデルス
Engel	エンゲル
Engelbert	エンゲルベルト
Engelbrecht	エンゲルブレヒト
Engelhardt	エンゲルハルト
Engelmann	エンゲルマン
Engels	エンゲルス
Engler	エングラー
Enzensberger	エンツェンスベルガー
Equiluz	エクヴィルツ
Erb	エルプ
Erben	エルベン
Erbse	エルプセ
Erckens	エルケンス
Erdmann	エルトマン
Erfurt	エアフルト
Erhard	エアハルト
Erlenmeyer	エルレンマイアー
Erman	エルマン
Ermert	エルメルト
Ernest	エルネスト
Ernst	エルンスト
Erpf	エルプ
Ertl	エルトル
Erzberger	エルツベルガー
Eschenbach	エッシェンバッハ
Esmarch	エスマルヒ
Esser	エッサー
Eßleben	エスレーベン
Eucken	オイケン
Eugn	オイゲン
Eulenberg	オイレンベルク
Eulenburg	オイレンブルク
Eulenspiegel	オイレンシュピーゲル
Euler	オイラー
Ewald	エヴァルト、エーヴァルト
Ewerhart	エーヴァーハルト
Exner	エクスナー
Eyb	アイプ
Eybler	アイブラー
Eysler	アイスラー
Faber	ファーバー
Fackler	ファクラー
Fahberg	ファーベルク
Fahner	ファーナー
Fahrenheit	ファーレンハイト
Fahrenhorst	ファーレンホルスト
Falkenberg	ファルケンベルク
Falkenhayn	ファルケンハイン
Fall	ファル
Faller	ファラー
Fasch	ファッシュ
Fassbender	ファスベンダー
Fassbinder	ファスビンダー
Faulhaber	ファウルハーバー
Faulstich	ファウルシュティヒ
Fechner	フェヒナー
Fecht	フェヒト
Fehenberger	フェーエンベルガー
Fehn	フェーン
Fehringer	フェーリンガー
Feiersinger	ファイアージンガー
Feinen	ファイネン
Feinhals	ファインハルス
Felbermayer	フェルバーマイヤー
Feldhoff	フェルトホフ
Fellmer	フェルマー
Felsenstein	フェルゼンシュタイン
Ferch	フェルヒ
Fernbach	フェルンバッハ
Fessel	フェッセル
Fetz	フェッツ
Feuchtwanger	フォイヒトヴァンガー
Feuerbach	フォイエルバッハ、フォイアーバッハ
Feuge	フォイゲ
Feulgen	フォイルゲン
Feurer	フューラー
Fichter	フィヒター
Fideser	フィデッサー
Fiedler	フィードラー
Fiegler	フィーグラー
Fielitz	フィーリッツ
Filbrich	フィルブリヒ
Filtz	フィルツ
Finck	フィンク
Finger	フィンガー
Fink	フィンク
Finke	フィンケ
Fischer	フィッシャー
Fitzenhagen	フィッツェンハーゲン
Flämig	フレーミヒ
Flarke	フラーケ
Fleischer	フライシャー
Fleisher	フライシャー
Flick	フリック
Flieder	フリーダー
Flinzer	フリンツァー
Flöge	フレーゲ
Flohe	フローエ
Flohn	フローン
Flotow	フロトー
Flür	フリューア
Fölser	フェルザー
Forchert	フォルヒャート
Forst	フォルスト
Förstel	フェルステル
Förstemann	フェルステマン
Förster	フェルスター
Forster	フォルスター
Fortner	フォルトナー
Franck	フランク
Franckenstein	フランケンシュタイン
Frank	フランク
Franke	フランケ
Frankenstein	フランケンシュタイン
Frantz	フランツ
Franz	フランツ
Franzen	フランツェン
Frauenlob	フラウエンロープ
Fraunhofer	フラウンホーファー
Frei	フライ
Freiberg	フライベルク
Freienfels	フライエンフェルス
Freier	フライアー
Freiholz	フライホルツ
Freiligrath	フライリヒラート
Freivogel	フライフォーゲル
Frentzen	フレンツェン
Frenzel	フレンツェル
Freudenthal	フロイデンタール
Freund	フロイント
Frey	フライ
Freytag	フライターク
Friedberg	フリートベルク
Friedel	フリーデル
Friedheim	フリートハイム
Friedhofer	フリードホーファー
Friedhoff	フリートホフ
Friedland	フリートラント
Friedrich	フリードリヒ
Friese	フリーゼ
Friesinger	フリージンガー
Frisch	フリッシュ
Fritsch	フリッチュ
Fritsche	フリッチェ
Fritz	フリッツ
Fritzsche	フリッチェ
Fröbe	フレーベ
Fröbel	フレーベル
Froberger	フローベルガー
Fröhlich	フレーリヒ
Froschauer	フロシャウアー
Frühling	フリューリング
Fuchs	フックス
Fügel	フューゲル
Funk	フンク
Funke	フンケ
Fürmann	フュルマン
Fürst	フュルスト
Fürstenberg	フュルステンベルク
Furtwängler	フルトヴェングラー
Fütterer	フュッテラー
Gabriel	ガーブリエル、ガーブリエール
Gäde	ゲーデ
Gagern	ガーゲルン
Gahmlich	ガームリヒ
Gaiger	ガイガー
Gall	ガル
Gambke	ガンプケ
Garber	ガルバー
Garduhn	ガルドゥーン
Gärtner	ゲルトナー
Gast	ガスト
Gauck	ガウク
Gauss	ガウス
Gayler	ゲイラー
Gebel	ゲーベル
Gebhard	ゲープハルト
Gebhardt	ゲプハルト
Gedeck	ゲデック
Geese	ゲーゼ
Geffert	ゲッフェルト
Gegenbauer	ゲーゲンバウアー
Geisler	ガイスラー
Geisse	ガイセ
Geist	ガイスト
Gelbke	ゲルプケ
Gellermann	ゲラーマン
Gelzer	ゲルツァー
Gentner	ゲントナー
Genuit	ゲヌイト
Genzmar	ゲンツマー
Georgii	ゲオルギー
Gerber	ゲルバー
Gerhardt	ゲーアハルト、ゲルハルト
Gericke	ゲリッケ
Gerl	ゲアル
Gerlach	ゲルラッハ
Gerstenbüttel	ゲルステンビュッテル
Gerster	ゲルスター
Gerstner	ゲルストナー
Gesell	ゲゼル
Gesner	ゲスナー
Gielen	ギーレン
Gierster	ギーアスター
Giesbert	ギースベルト
Giesebrecht	ギーゼブレヒト
Gieseking	ギーゼキング
Giesen	ギーゼン
Giessen	ギーセン
Gietzen	ギーツェン
Gilbert	ギルベルト
Gilenssen	ギレンセン
Gilessen	ギレッセン
Gilhofer	ギルホファー
Gilles	ギレス
Gillesberger	ギレスベルガー
Gillmann	ギルマン
Ginster	ギンスター
Gläser	グレーザー
Glatzel	グラッツェル
Glätzner	グレッツナー
Glaz	グラーツ
Gleissner	グライスナー
Gloeden	グレーデン
Gmür	グミュール
Gneisenau	グナイゼナウ
Gneist	グナイスト
Gödel	ゲーデル
Goebbels	ゲッベルス
Goebels	ゲーベルス
Goedicke	ゲディケ
Goerdeler	ゲルデラー
Goethe	ゲーテ
Göhler	ゲーラー
Goldberg	ゴルトベルク
Goldberger	ゴルトベルガー
Goltz	ゴルツ
Golz	ゴルツ
Göpel	ゲーペル
Göpfert	ゲプフェルト
Göring	ゲーリング
Goritz	ゴリッツ
Görtz	ゲルツ
Gosebruch	ゴーゼブルホ
Goslich	ゴスリヒ
Gössling	ゲスリング
Gottschall	ゴッチャル
Götz	ゲッツ
Götzke	ゲツケ
Grabbe	グラッベ
Gräner	グレーナー
Gräßler	グレスラー
Graun	グラウン
Graunke	グラウンケ
Graupner	グラウプナー
Greilich	グライリヒ
Greiner	グライナー
Griebel	グリーベル
Griem	グリーム
Grillparzer	グリルパルツァー
Grimm	グリム
Grindemann	グリンデマン
Grohl	グロール
Grohmann	グローマン
Gröllmann	グレルマン
Grönemeyer	グレネマイアー
Gröning	グレーニング
Gropius	グロピウス
Gröschel	グレッシェル
Großkopf	グロスコップ
Großkreutz	グロースクロイツ
Grossmann	グロスマン
Groth	グロート
Gruber	グルーバー
Grumbach	グルムバッハ
Grümmer	グリュンマー
Grundmann	グルントマン
Grünewald	グリューネヴァルト
Grüneweller	グリューネヴェラー
Grüning	グリューニング
Gubisch	グビッシュ
Güden	ギューデン
Guderian	グデーリアン
Guericke	ゲーリケ
Gugel	グーゲル
Gümmer	ギュンマー
Günter	ギュンター
Günther	ギュンター
Gura	グーラ
Guski	グスキ
Gutenberg	グーテンベルク
Gutheil	グートハイル
Gutstein	グートシュタイン
Gwinner	グヴィナー
Haake	ハーケ
Haas	ハース
Haase	ハーゼ
Haber	ハーバー
Habich	ハービヒ
Häbler	ヘーブラー
Hack	ハック
Hagen	ハーゲン
Hagenbeck	ハーゲンベック
Hagendorf	ハーゲンドルフ
Hägerich	ヘーゲリヒ
Hagmayer	ハグマイヤー
Hainmüller	ハインミュラー
Hake	ハーケ
Haller	ハーラー
Hamann	ハーマン
Hambüchen	ハームビュッヒェン
Hammerschmidt	ハンマーシュミット
Händschke	ヘンチュケ
Hangstein	ハンクシュタイン
Hanisch	ハニッシュ
Hannawald	ハンナヴァルト
Hannes	ハネス
Hans	ハンス
Hänsch	ヘンシュ
Hansen	ハンゼン
Happe	ハッペ
Hardenberg	ハルデンベルク
Häring	ヘリング
Harnisch	ハーニッシュ
Härtel	ヘルテル
Härter	ヘルター
Hartman	ハルトマン
Hartmann	ハルトマン
Hartog	ハールトーク
Hartwig	ハルトヴィヒ
Hartzenbusch	ハルツェンブッシュ
Hartzheim	ハルツハイム
Harzen	ハルツェン
Hasche	ハシェ
Hascher	ハッシャー
Hasenbein	ハーゼンバイン
Hasenclever	ハーゼンクレファー
Haseney	ハーゼナイ
Hass	ハス
Hasse	ハッセ
Hasselbach	ハッセルバッハ
Hassemer	ハセマー
Hasslacher	ハッスラッハー
Häßler	ヘスラー
Hassler	ハスラー
Hastedt	ハシュテット
Hattenberger	ハッテンベルガー
Hauer	ハウアー
Hauff	ハウフ
Haun	ハウン
Haupt	ハウプト
Hauptmann	ハウプトマン
Hausdorff	ハウスドルフ
Haushofer	ハウスホーファー
Hausknecht	ハウスクネヒト
Häusser	ホイサー
Haydn	ハイドン
Hecht	ヘヒト
Hecken	ヘッケン
Hegel	ヘーゲル
Hegerich	ヘーゲリヒ
Heidegger	ハイデガー
Heidelbach	ハイデルバッハ
Heidelberg	ハイデルベルク
Heidemann	ハイデマン
Heidenreich	ハイデンライヒ
Heidfeld	ハイドフェルト
Heidrich	ハイドリヒ
Heiermann	ハイアーマン
Heimendahl	ハイメンダール
Heimsöth	ハイムゼート
Heinemann	ハイネマン
Heinen	ハイネン
Heinichen	ハイニヒェン
Heintze	ハインツェ
Heinze	ハインツェ
Heinzel	ハインツェル
Heinzmann	ハインツマン
Heise	ハイゼ
Heisenberg	ハイゼンベルク
Heitler	ハイトラー
Heitmann	ハイトマン
Heizmann	ハイツマン
Helbig	ヘルビヒ
Held	ヘルト
Heldt	ヘルト
Helfferich	ヘルフェリヒ
Helgen	ヘルゲン
Hellmann	ヘルマン
Hellmesberger	ヘルメスベルガー
Hellmuth	ヘルムート
Helmer	ヘルマー
Helmold	ヘルモルト
Hempel	ヘンペル
Hengen	ヘンゲン
Henkel	ヘンケル
Henlein	ヘンライン
Hennefeld	ヘンネフェルト
Hennig	ヘニッヒ
Henselt	ヘンゼルト
Henssler	ヘンスラー
Hentig	ヘンティヒ
Henze	ヘンツェ
Herder	ヘルダー
Herfurth	ヘルフルト
Hermann	ヘルマン
Hermel	ヘルメル
Herms	ヘルムス
Herrlich	ヘルリヒ
Hertl	ヘルトル
Hertling	ヘルトリング
Hertz	ヘルツ
Hertzberg	ヘルツベルク
Hertzsch	ヘルツシュ
Herzfeld	ヘルツフェルト
Herzog	ヘルツォーク
Herzogenberg	ヘルツォーゲンベルク
Herzsprung	ヘルツシュプルング
Heß	ヘス
Hettner	ヘットナー
Heuberger	ホイベルガー
Heuer	ホイアー
Heuss	ホイス
Heydrich	ハイドリヒ
Heyn	ハイン
Heynckes	ハインケス
Heyse	ハイゼ
Hiemann	ヒーマン
Hildebrand	ヒルデブラント
Hildesheimer	ヒルデスハイマー
Hildmann	ヒルトマン
Hillenbrand	ヒレンブラント
Hiller	ヒラー
Hilpert	ヒルパート
Hiltmann	ヒルトマン
Himmel	ヒンメル
Hindemith	ヒンデミット
Hindenburg	ヒンデンブルク
Hinkel	ヒンケル
Hintermaier	ヒンターマイヤー
Hintermayer	ヒンターマイヤー
Hirsch	ヒルシュ
Hirschberger	ヒルシュベルガー
Hirschbiegel	ヒルシュビーゲル
Hirschfeld	ヒルシュフェルト
Hirth	ヒルト
Hittorf	ヒットルフ
Hitzelburger	ヒッツェルブルガー
Hitzlsperger	ヒッツルスパーガー
Höbarth	ヘーバルト
Höch	ヘッヒ、ヘーヒ
Hoch	ホッホ、ホーホ
Hödicke	ヘーディケ
Hofer	ホーファー
Höfermeyer	ヘーファーマイアー
Höffgen	ヘフゲン
Hoffmann	ホフマン
Hoffmeister	ホフマイスター
Hofhaimer	ホフハイマー
Hofmann	ホフマン
Hofmannsthal	ホフマンスタール
Hofmannswaldau	ホフマンスヴァルダウ
Hofmeister	ホフマイスター
Hofschneider	ホフシュナイダー
Höger	ヘーガー
Hohenlohe	ホーエンローエ
Höhenrieder	ヘーエンリーダー
Hohlrieder	ホールリーダー
Hölderlin	ヘルダーリン
Höll	ヘル
Holland	ホラント
Höller	ヘラー
Hollerbach	ホーレルバッハ
Holliger	ホリガー
Holm	ホルム
Holstein	ホルシュタイン
Holthaus	ホルトハウス
Hölzel	ヘルツェル
Hölzenbein	ヘルツェンバイン
Hölzl	ヘルツル
Holzmann	ホルツマン
Holzwarth	ホルツヴァート
Höness	ヘーネス
Höpken	ヘプケン
Hörner	ヘルナー
Horngacher	ホルンガッハー
Hübenthal	ヒューベンタール
Huber	フーバー
Hubertus	フーベルトゥス
Hübner	ヒューブナー
Hudemann	フーデマン
Hüfner	ヒュフナー
Hügel	ヒューゲル
Hugenberg	フーゲンベルク
Hügler	ヒューグラー
Hühn	ヒューン
Humboldt	フンボルト
Hummel	フンメル
Humpe	フンペ
Humperdinck	フンパーディンク
Hunzelmann	フンツェルマン
Hüttenbrenner	ヒュッテンブレンナー
Hütter	ヒュッター
Illgner	イルクナー
Immel	インメル
Irmscher	イルムシャー
Istel	イステル
Ittenbach	イッテンバッハ
Jadassohn	ヤダスゾーン
Jäger	イェーガー
Jähne	イェーネ
Jahnn	ヤーン
Jancker	ヤンカー
Janenz	ヤネンツ
Jänsch	イェンシュ
Janssen	ヤンセン
Jarnach	ヤルナッハ
Jebram	イェブラム
Jelinek	イェリネク
Jellinek	イェリネク
Jentsch	イェンチュ
Jeremies	イェレミース
Jerusalem	イェルザレム
Jeschke	イェシュケ
Jessel	イェッセル
Jhering	イェーリング
Joachim	ヨアヒム
Job	ヨープ
Jochum	ヨッフム
Jodl	ヨードル
Jöken	イェーケン
Jonas	ヨーナス
Jooß	ヨース
Jordan	ヨルダン
Jörg	イェルク
Jöris	イェーリス
Jorra	ヨラ
Jung	ユング
Jünger	ユンガー
Junker	ユンカー
Junkers	ユンカース
Jürgen	ユルゲン
Jürgens	ユルゲンス
Jüten	ユーテン
Kahler	カーラー
Kähler	ケーラー
Kahn	カーン
Kallenberg	カレンベルク
Kaltz	カルツ
Kamann	カーマン
Kammer	カマー
Kämpfel	ケンプフェル
Kämpfert	ケンプフェルト
Kant	カント
Kapellmann	カペルマン
Karg	カルク
Kasner	カスナー
Käßmann	ケスマン
Kästner	ケストナー
Kaufmann	カウフマン
Kaumanns	カウマンス
Kaun	カウン
Kaunitz	カウニッツ
Keetmann	ケートマン
Kehl	ケール
Keiser	カイザー
Keller	ケラー
Kempe	ケンペ
Kepler	ケプラー
Kerchensteiner	ケルヒェンシュタイナー
Kerll	ケルル
Kerner	ケルナー
Kersten	ケルステン
Kesselring	ケッセルリング
Kessinger	ケッシンガー
Kesten	ケステン
Kesting	ケスティング
Ketteler	ケッテラー
